Name,Location,Brand,Gender,      Age,Reviews
Leandra Duran,Poland,Samsung,Male,21,short life
Lenore Blevins,Peru,Amazon,Male,28,Great product
Adena Merritt,Singapore,Sony,Female,28,Love it!
Hakeem Mendoza,Vietnam,Dell,Male,30,Good reader
Byron Rogers,Poland,HP,Female,23,Ok
Adam Blair,United Kingdom,LG,Female,21,Works quit well - would recommend!!
Dante Galloway,Nigeria,Dell,Male,19,basic but good
Ocean Singleton,Brazil,HP,Female,18,Very nice
Samuel King,Poland,Amazon,Male,28,Machine meets all expectations
Solomon Harding,Sweden,LG,Male,20,Great black friday price for this tablet
Tobias Alvarado,Pakistan,Apple,Female,26,Outstanding value!
Kasimir Petersen,Brazil,Amazon,Female,25,Returned it.. SLOW!!!
Benedict Holland,United States,Amazon,Male,25,"Headphones nice, not so nice battery though"
Olivia Patterson,Russian Federation,Amazon,Female,23,Priced Right
Jayme Knox,Spain,Dell,Female,19,Love it.
Neve Carson,South Africa,HP,Male,22,It's fast and perfect
Ivy Hinton,Italy,Microsoft,Female,22,Nice improvements over the previous generations
Sopoline Frederick,Sweden,Dell,Female,24,A gift
Ima Carpenter,Canada,Apple,Male,19,Great!
Duncan Mueller,Sweden,Amazon,Male,19,Good for the money
Lana Schroeder,Sweden,HP,Male,26,Not charging well
Fuller Boyd,Canada,LG,Female,21,Works great
Ezra Yates,Philippines,Microsoft,Female,27,Fantastic purchase
Renee Vang,Philippines,Sony,Female,27,Love using Kindle Fire
Giacomo Hendricks,Belgium,Microsoft,Female,18,Very happy.
Carla Ferrell,France,Amazon,Female,27,Good graphics and very easy to use
Uma Delaney,Australia,Microsoft,Male,20,Works good with Alexia.
Erica Lamb,Australia,Dell,Male,27,Great for reading.
Uriah Workman,United States,Dell,Female,22,Impressive for kids
Brennan Ayala,South Africa,Amazon,Female,26,Absolutely Great Start Up Tablet
Levi Rollins,Germany,Dell,Female,26,Well improved
Justine Gibbs,Australia,HP,Male,25,Awesome
Odysseus Le,Colombia,LG,Male,24,Super User Friendly
Charissa Greene,Ireland,HP,Male,24,Great product
Tucker Fitzpatrick,Brazil,Samsung,Female,25,Very basic
Talon Sandoval,Chile,Microsoft,Male,29,Overall nice display; email setup not so friendly
Devin Thornton,Vietnam,HP,Male,27,"Better than I thought From a techie guy 2,"
Oliver Crane,Australia,Samsung,Female,27,Heavy but more protective than a slipcase One person found this helpful. Was this review helpful to you Yes No
Hanna Franco,Poland,HP,Female,30,Very pleased with cover
Teegan Davis,United Kingdom,Amazon,Female,25,Great protection if it doesn't damage the Kindle first!
Cheryl Sweet,Mexico,Amazon,Female,29,very good fit and some protection for Kindle DX
Marah Calderon,Belgium,Amazon,Female,25,Eventually Your Kindle Will Crack
Sybil Cain,India,Dell,Female,20,Love my Kindle
Valentine Harmon,Spain,LG,Female,24,Very classy cover!
Claudia Phelps,Italy,Amazon,Male,30,Product appears to be updated
Lysandra Calderon,Nigeria,Amazon,Male,21,"Great at first, warped within 3 months"
Ciaran Bonner,Germany,Sony,Female,28,Kindle Cover Issue
Adrienne Richmond,Russian Federation,LG,Male,22,Extremely Handy!
Madonna Moreno,Russian Federation,Amazon,Female,28,Surpassed expectation
Alyssa Franklin,Philippines,HP,Female,30,Ships With All Current Kindle Fires... 556 people found this helpful. Was this review helpful to you Yes No
Wyoming Rivers,New Zealand,Microsoft,Male,24,power cord for kindle fire
Karleigh Gross,Australia,Microsoft,Male,24,Great power cord
Vanna Bailey,China,HP,Male,21,Replaced charger 53 people found this helpful. Was this review helpful to you Yes No
Emmanuel Guerra,South Africa,Sony,Female,20,Perfect 88 people found this helpful. Was this review helpful to you Yes No
Barclay Burgess,Turkey,Sony,Male,21,Micro Cable
Darrel Patel,South Africa,Microsoft,Female,21,Quick charging - high quality
Wilma Moss,Chile,Microsoft,Female,30,Fast Charge
Britanney Lamb,Pakistan,Samsung,Female,23,perfect
Alexa Wolf,Canada,Microsoft,Female,18,Disappointed!
Tobias Farmer,Turkey,HP,Male,21,Nice contact
Dustin Clark,United States,Sony,Female,18,Ridiculous
Kasimir Sims,Australia,Microsoft,Male,26,Not As Expected
Aaron Nunez,Indonesia,Amazon,Female,29,Not Necessary
Florence Padilla,China,Amazon,Male,24,Not appreciably faster than any other 1.8A charger
Morgan Sherman,France,Sony,Female,20,Should be included
Chaim Morton,Peru,LG,Female,24,Disappointing Charger
Arsenio Dodson,Vietnam,LG,Male,23,Not worth the money
Cole Caldwell,Pakistan,LG,Male,29,as with everyone else
Callum Velasquez,Belgium,Sony,Female,20,Great box and easy to use
Nash Sanford,Russian Federation,Amazon,Female,22,Super fast at streaming
Eric Lott,Netherlands,Microsoft,Female,23,Great buy for the money
Cailin Estrada,Singapore,Samsung,Male,19,Great streaming product
Wendy Lindsay,India,HP,Female,30,Great quality!
Anthony Puckett,Canada,Amazon,Male,25,Excellent product
Maggie Solis,Peru,LG,Male,25,Great streaming device
Arden Whitaker,South Korea,Sony,Female,30,Great Product
Wanda Clayton,Poland,Sony,Female,29,Perfect Entertainment
Reed Dean,South Africa,HP,Male,23,Nice streaming box
Nina Hays,Austria,Microsoft,Female,21,4K is nice but UI isn't top notch
Herman Ford,Netherlands,Microsoft,Male,27,"Great device, very powerful upgrade"
Sarah Jenkins,Italy,Dell,Female,22,Work great
Aristotle Morrow,Pakistan,Amazon,Female,27,Great product for the price
Stella Gardner,Germany,Dell,Male,20,Excellent product
Timothy Knox,United Kingdom,LG,Female,25,Great streaming player
Kellie Ramirez,Austria,Microsoft,Male,30,Ok but remote not
Hall Sloan,United Kingdom,Microsoft,Female,23,Small but powerful
Thaddeus Stark,Netherlands,Apple,Female,29,Better than Roku
Armando Sawyer,United States,Amazon,Male,29,Awsome
Micah Malone,South Africa,Apple,Female,28,Amazon Fire stick
Cooper Garrison,Italy,Sony,Male,29,Great solution to a cable alternative
Benedict Rice,Brazil,Amazon,Male,20,I love Alexa
Yvonne Poole,United States,Samsung,Male,29,Excellent
Macaulay Beck,Nigeria,LG,Female,25,easy set-up and access
Solomon West,Sweden,Dell,Female,18,Excellent product to use with Sling
Griffin Tillman,Vietnam,LG,Female,22,Good
Marshall Boone,India,Amazon,Male,27,Perfect Streaming Device
Tate Bridges,China,Dell,Male,24,Great streaming device
Kim Lynn,Belgium,Apple,Female,28,Easy to operate
Callum Hays,South Korea,LG,Male,25,Love the Amazon - Fire TV!
Abel Heath,Germany,Dell,Female,27,Fire TV Box
Christopher Miles,Singapore,LG,Male,19,Don't need cable or Sat service
Acton Gilbert,South Korea,Sony,Female,18,"Loads of content, blazing fast"
Alisa Martin,Russian Federation,Samsung,Female,28,We love the movie options
Galena Levine,Chile,Amazon,Female,19,Fast
Allen Frank,Germany,HP,Male,26,Great product
Ali Beasley,Russian Federation,LG,Male,23,love this device
Nissim Puckett,China,LG,Female,18,Great Item!!!
Melvin Marsh,Costa Rica,Microsoft,Male,25,pretty nice streamer
Orlando Gilmore,United States,Dell,Female,28,Great Little Box
Odysseus Cook,Spain,Sony,Male,22,The best media streamer on the market
Elvis Suarez,Russian Federation,Sony,Male,21,Great purchase
Abraham Dale,Belgium,LG,Female,20,Replaced both Rokus
Perry Medina,Norway,Sony,Male,18,Would def buy another
Tarik Huff,Pakistan,HP,Male,24,Terrific product for cord cutters
August Carrillo,New Zealand,Amazon,Female,27,It's Amazon... Could only expect the best!!!
Mariam Baker,United Kingdom,Sony,Female,18,Best media device
Merrill James,Nigeria,Microsoft,Male,30,Good product.
Althea Lindsay,Peru,Microsoft,Female,26,Great!
Alan Shelton,Peru,Microsoft,Female,29,Great Addition to Hometheater
Garrett Pugh,Spain,Dell,Female,28,Easy to use - convenient
Remedios Benson,Norway,Dell,Female,24,Amazon Fire tv
Vivian Barry,Germany,HP,Male,18,Good
Hu Browning,New Zealand,Apple,Female,26,Great for Amazon
Kenneth Branch,Netherlands,HP,Female,18,Fire tv
Bree Whitaker,Colombia,Amazon,Female,19,Nice media streamer
Hop Mann,Canada,LG,Male,18,Excellent
Alice Walsh,Sweden,Samsung,Female,28,Amazon Fire TV - Good product
Madeson Stout,Sweden,Amazon,Female,26,Excellent Media Streaming Device
Henry Robinson,Philippines,Sony,Male,28,Awersome
Joseph Sweet,Chile,Sony,Male,23,Better than the Roku
Sybil Sutton,Turkey,Microsoft,Female,22,Those who bought this
Gray Mathews,Philippines,LG,Female,29,Faster than a Fire TV Stick!
Samson Marsh,Brazil,LG,Female,23,Great device
Quentin Solomon,Chile,LG,Male,22,Awesome
Judah Richmond,France,Microsoft,Male,22,Excellent priduct
Leroy O'connor,Costa Rica,Dell,Female,19,Fire tv
Lara Frazier,New Zealand,Sony,Male,28,Amazing
Boris Jefferson,United States,Dell,Male,21,We have absolutely loved this device
Fulton Mclaughlin,India,LG,Female,19,Great box for watching Prime and playing games.
Cheyenne Lott,China,Dell,Male,22,Use this a lot
Axel Booker,Costa Rica,Dell,Female,26,I love this product
Dahlia Clemons,United States,LG,Female,18,Comparable to Apple TV
John Reyes,New Zealand,LG,Male,21,Works great
Jin Cook,Brazil,Amazon,Male,25,good content
Shaine Byers,Austria,Apple,Male,23,Great idea to pick up for family
Dexter Mcconnell,Australia,Dell,Female,30,Awesome device!!
Zachary Puckett,United Kingdom,Samsung,Female,19,Excellent streaming device.
Hunter Freeman,Germany,Microsoft,Male,30,Best media player
Ramona Waller,Colombia,Sony,Male,18,Seems to work ok haven't been able to do much with
Wayne Leach,Ukraine,Dell,Male,21,Love this streamer box.
Deanna Morrison,Sweden,Microsoft,Male,22,My Go-To Streamer
Clio Dunlap,Mexico,HP,Male,19,Awesome product
Sigourney Drake,Ireland,HP,Male,27,Excellent interface
Hayfa Dennis,Chile,Samsung,Female,22,Great way to watch tv
Yeo Carr,Mexico,HP,Male,20,Great android box
Ivy Richmond,Turkey,Amazon,Female,29,Great investment streams awesome!
Alea Arnold,Singapore,HP,Male,19,FireTV is on Fire
Rhea Dennis,Chile,Dell,Male,28,awesome streaming device
Lawrence Keith,Mexico,Dell,Female,27,excellent device
Zeph Peck,Brazil,Sony,Female,21,Worth the money
Kaseem Rosario,United States,Sony,Female,28,Great
Adria Hayes,Brazil,Sony,Male,30,works pretty good
Shellie Hobbs,Mexico,LG,Female,25,Great device
Denton Key,Pakistan,Amazon,Female,23,Amazon Fire works great.
Evelyn Marsh,Pakistan,Microsoft,Male,21,Needs better directions
Bianca Haney,Pakistan,Sony,Female,30,Perfect for me.
Idona Mercer,Canada,Sony,Male,25,Easy to use
Imogene Sparks,United Kingdom,Samsung,Female,18,Would By Again!!!
Cleo Abbott,France,Dell,Female,21,Great product
Cora Kidd,Pakistan,Samsung,Female,27,5
Avram Hawkins,New Zealand,Sony,Female,22,Better than cable
Ciara Meyer,Brazil,Amazon,Female,29,fire tv
Addison Chavez,Germany,Samsung,Female,27,Get more from this then cable provides
Yolanda Navarro,Turkey,Microsoft,Male,26,Great streaming device
Murphy Durham,Singapore,Sony,Female,23,Better than expected
Anne Sutton,South Korea,HP,Female,19,GREAT FOR STREAMING
Ray Warren,Norway,LG,Female,25,Cable what's that?
Harrison Mercer,Nigeria,Dell,Female,25,Hello 21st century!
Ross Abbott,Sweden,Microsoft,Female,18,Great Device
Yvette Jimenez,South Korea,Microsoft,Female,25,Very good system
Driscoll Mitchell,New Zealand,Amazon,Male,28,Very reliable and fast
Ivory Browning,Germany,Amazon,Male,23,Awesome
Halee Aguirre,Belgium,LG,Female,27,Verte good electronic thing
Channing Colon,India,Dell,Male,24,Fun little set top unit
Rhea Simon,South Korea,Microsoft,Male,27,Sorry I waited!
Alec Fuentes,France,Dell,Female,30,It's ok
Merrill Mooney,Ireland,LG,Female,23,Great addition
Yardley Valentine,Colombia,HP,Male,28,Great Streaming Box
Michelle Hammond,France,HP,Female,28,Great
Noah Brady,Poland,Apple,Female,19,I like
Sierra Mcmillan,Sweden,Amazon,Female,19,Much Better Than Fire Stick
Nerea Wolf,Russian Federation,Samsung,Male,25,So good
Axel Hodge,United Kingdom,Sony,Female,19,Faster than the Fire Stick
Eagan Gibbs,Netherlands,Sony,Male,27,great product
Zachery Pace,Vietnam,Dell,Female,18,Great purchase
Bianca Scott,Ukraine,LG,Male,23,Awesome video quality and extremely fast streaming
Chanda Tran,South Africa,HP,Male,27,excellent unit
Ethan Goff,Russian Federation,Sony,Female,25,Amazon FireTv
Keaton Benson,Italy,Dell,Female,23,Great
Naida Flowers,South Africa,Apple,Female,30,Fire Tv
Merritt Duncan,United States,LG,Male,21,AWSOME!!!
Serina Buck,Norway,Amazon,Male,28,decent
Cassandra O'connor,Indonesia,Sony,Female,28,Great cheap box to run Kodi on it
Mara Slater,United Kingdom,LG,Male,30,Best TV Box
Noelle Savage,Brazil,HP,Female,23,Great item
Logan Simpson,United States,Dell,Female,21,I love it!!!!!
Tanek Larson,India,Amazon,Male,19,Great to cut cost on cable
Dominic Mccullough,Australia,HP,Female,18,Amazon Fire
Tanner Cooper,Poland,Amazon,Male,28,Great Stream Box
Quamar Morris,Spain,LG,Male,20,Better Than Cable
Stuart Schultz,Germany,LG,Female,26,AWESOME
Carter Bell,Philippines,Amazon,Female,25,Favorite media streamer
Leonard Wilkerson,New Zealand,Amazon,Male,25,Amazing
Veronica Thompson,China,Samsung,Female,23,Great tv to have especially when traveling.
Lionel Short,South Africa,Dell,Female,19,I love the fact that I can watch what ever
Rhonda Burke,India,Sony,Male,22,Great for all streaming needs
Charles Slater,Ireland,HP,Female,22,Fire TV
Tana Kemp,China,Samsung,Female,24,Love it
Jaime Ball,United Kingdom,Dell,Male,19,Easy set up easy to use
Rachel Snyder,Spain,Amazon,Male,19,easy to set up
Cairo Burton,Italy,Amazon,Male,26,Great
Griffith Leonard,China,Dell,Female,21,Great streaming device
Cameron Beck,Brazil,Microsoft,Female,27,Technology at it's best
Aladdin Rogers,Belgium,Apple,Female,27,Simple but effective streaming product
Skyler Britt,Ukraine,Sony,Female,18,Very good
Deborah Church,Spain,Amazon,Female,27,Love it
Quynn Mcmillan,Nigeria,HP,Male,20,Have actually saved money by buying it.
Lydia Wilkins,Ukraine,LG,Male,27,It's a fire tv
Dai Jacobson,Indonesia,LG,Female,22,Great alternative for cable
Cameran Walker,Pakistan,LG,Female,26,Good but needs some work
Macey Drake,Pakistan,Dell,Female,26,Awesome box
Rebecca Boyle,Ireland,Amazon,Male,25,Updated an old system
Evangeline Stanton,France,LG,Male,24,Cool
Rooney Ramsey,Turkey,Dell,Male,24,Great
Odette Donovan,Nigeria,Microsoft,Female,25,Had to get another
Devin Barton,Norway,Microsoft,Male,29,Mostly good so far
Quentin Coleman,Poland,HP,Male,27,Works as advertised
Ian Henry,Singapore,Microsoft,Female,27,Great Product.
August Morrison,Indonesia,HP,Female,30,Gift for christmas
Adam Briggs,Pakistan,LG,Female,25,Love it! :)
Tad Greer,Netherlands,LG,Female,29,Love it
Lev Wolf,Pakistan,HP,Female,25,Get one
Kessie Moran,Turkey,HP,Female,20,Awesome
Bevis Murray,New Zealand,Amazon,Female,24,I love it!!
Felix Browning,Poland,LG,Male,30,Great
Graham Bradford,Spain,LG,Male,21,Love this product -- Highly recommend
Aidan Garrett,Colombia,Dell,Female,28,Cutting the cord.
Ahmed Knox,Ukraine,Amazon,Male,22,Love this thing.
Martha Burgess,Chile,HP,Female,28,Totally worth it
Tashya Lang,France,Microsoft,Female,30,Amazon Fire TV
Karen Weeks,Colombia,Microsoft,Male,24,Satisfied Overall but...
Christine Wynn,Indonesia,Samsung,Male,24,Great product
Priscilla Vinson,Poland,Microsoft,Male,21,Excellent TV streaming device
Aidan Roberts,Colombia,Apple,Female,20,Great for any tv/movie lover
Chandler Meyer,Turkey,HP,Male,21,The most versatile option of the streaming boxes
Alan Francis,Brazil,Amazon,Female,21,easy to use
Zoe Allen,Australia,Apple,Female,30,Works great!
Amethyst Klein,Sweden,Dell,Female,23,FireTv
Jacob Page,France,Sony,Female,18,Does what it needs to
Steel Estes,South Africa,Apple,Male,21,"Great system, very fast!!"
Lance Meadows,Pakistan,LG,Female,18,Love it
Paula Parrish,Austria,LG,Male,26,Easy to use and fun to explore.
Avram Tyler,Netherlands,Microsoft,Female,29,"Compact, Fast .... Good"
Odette Rice,Vietnam,Apple,Male,24,As decent as other Amazon products
Nathaniel Wilkinson,Indonesia,Apple,Female,20,Perfect 4K entertainment box
Cadman Wise,Indonesia,Sony,Female,24,Love FireTV
Hannah Frazier,Poland,Samsung,Male,23,Great product.
Aaron Fleming,Turkey,Dell,Male,29,Great streaming devise
Yolanda Banks,Sweden,LG,Female,20,Best media streaming system on the market!
Zachary Farley,Turkey,Apple,Female,22,Way faster than Stick
Imogene Trevino,Belgium,Samsung,Female,23,great product for a beginner
Yolanda Carney,Belgium,Microsoft,Male,19,Easy to work
Anthony Mcneil,United Kingdom,LG,Female,30,Great item only missing vudu
Keely Murray,Chile,Microsoft,Male,25,Best streaming device
Claudia Christian,Italy,Sony,Male,25,Awesome streamer
Hector Rogers,Peru,Amazon,Female,30,AMAZING TV BOX!!!
Brittany Gates,Philippines,Amazon,Female,29,Love it
Caesar Wilkerson,Peru,Sony,Male,23,Okay Addition to TV
Odysseus Whitfield,United Kingdom,Sony,Female,21,My little magic box
Isaiah Roberson,United Kingdom,Dell,Male,27,Great product.
Callie Gilmore,New Zealand,Dell,Female,22,Amazon Fire Tv
Shafira Douglas,Costa Rica,LG,Female,27,Great
Lillith Santana,South Korea,Microsoft,Male,20,Fast and lots of options
Ava Hatfield,Singapore,Amazon,Female,25,Excellent streaming player
William Dickson,Nigeria,LG,Male,30,Best one yet
Amelia Ward,Colombia,Amazon,Female,23,Much happier with the FireTV
Ishmael Jefferson,South Africa,LG,Female,29,"Wonderful, except for the disfunctional remote!"
Alexandra Wong,Pakistan,Sony,Male,29,Great Product to enjoy AmazonVideo
Darryl Forbes,Singapore,Apple,Female,28,Easy and Fun to use
Audrey Griffith,South Africa,Amazon,Male,29,convenient
Cooper Chambers,Philippines,Dell,Male,20,Great product
Myles Morse,Australia,HP,Male,29,Easy to set-up
Jennifer Gaines,Indonesia,HP,Female,25,Excellent Product
Mariko Chaney,Netherlands,HP,Female,18,Nice Product
Megan Underwood,Colombia,LG,Female,22,Works great
Bethany Tanner,Costa Rica,Microsoft,Male,27,Great product
Darryl Rocha,Ireland,Amazon,Male,24,Worth the cost over Fire Stick
Porter Pearson,Russian Federation,LG,Female,28,Great purchase
Jena Velez,Mexico,HP,Male,25,Easy and simple
Leslie Hewitt,Australia,Sony,Female,27,Super fast media center
Hunter Hancock,United States,LG,Male,19,A good device to cut cable
Wayne Schmidt,Nigeria,Sony,Female,18,Works as advertised.
Hilel Knapp,Poland,LG,Female,28,Cut It!
Prescott Edwards,Austria,HP,Female,19,Great system-easy to navigate
Oren Webster,Indonesia,Dell,Male,26,Great
Rooney Horn,Ireland,Amazon,Male,23,Excellent product
Avye Vasquez,United States,Apple,Female,18,Good
Rigel Martin,United States,Samsung,Male,25,Great purchase
Russell Sherman,South Africa,Amazon,Female,28,Load of options
Freya Romero,Brazil,HP,Male,22,great for streaming
Ariel Perez,Australia,Apple,Male,21,"Great product, easy to use"
Wyatt Goodman,Brazil,Microsoft,Female,20,"Great device, easy set up"
Palmer Wilcox,Netherlands,LG,Male,18,Great product
Rashad Chang,Turkey,Microsoft,Male,24,Great box for movies
Allen Rodriguez,France,Apple,Female,27,4k
Tyrone Wolfe,Philippines,Microsoft,Female,18,Amazon Fire Box is great
Lewis William,New Zealand,Microsoft,Male,30,good
Judah Le,United States,Microsoft,Female,26,Better than the 1st generation
Malik Mason,South Africa,Dell,Female,29,Attractive and powerful
Aaron Thomas,Australia,HP,Female,28,Perfect Christmas gifts for my kids and Santa!
Warren Baird,United States,Sony,Female,24,Amazon Fire tv
Lucas Ochoa,New Zealand,Amazon,Male,18,very good
Daria Moss,Austria,Sony,Female,26,Unbelievably stunning high def streaming.
Ronan Collins,United Kingdom,Dell,Female,18,Great product
Kylee Sykes,Colombia,Microsoft,Female,19,Amazon Fire TV
Jolene Pitts,Vietnam,Dell,Male,18,Perfect
Nayda Whitley,India,Amazon,Female,28,Bought 2 of these and love them!
Jaden Thompson,India,HP,Female,26,Needs more apps
Melyssa Beasley,United Kingdom,LG,Male,28,Great product
Nicholas Gaines,Ireland,Microsoft,Male,23,Great value for 4K
Lareina Holmes,South Korea,Microsoft,Female,22,Great
Dexter Wells,Germany,Microsoft,Female,29,Another gem from Amazon
Thaddeus Landry,Mexico,Microsoft,Female,23,What he wanted
Freya Durham,Australia,HP,Male,56,Love this Item
Hall Cantu,France,LG,Male,60,Great box for the money
Kimberly Stephenson,Russian Federation,Microsoft,Female,54,Best streaming device on the market!
Herman Haney,Belgium,Sony,Male,60,Fantastic streaming device
Rudyard Hensley,Norway,Microsoft,Male,52,Great product
Tad Greene,Canada,LG,Female,60,Great product for the money
Laith Benjamin,Turkey,HP,Male,57,Nice little streaming device
Madison Rodgers,Ukraine,Amazon,Female,60,Tech
Clementine Munoz,Poland,HP,Female,59,Amazon Did It Again
Jamal Hodges,France,Amazon,Male,54,I tried the new Roku 4 didn't work with my UHD TV
Graiden Valdez,China,Amazon,Male,60,Not worth it
Caryn Green,United States,Amazon,Male,59,works good but felt chromecast is better.
Ethan Malone,Peru,Sony,Female,54,Very fast streamer
Wynne Schmidt,Australia,Amazon,Female,55,Great product for streaming
Nelle Brown,Chile,Dell,Male,58,Great programming
Russell Blackburn,Belgium,Sony,Male,55,Kodi Streaming
Uriel Harrell,New Zealand,Microsoft,Male,58,great streamer
Maxwell Mccarty,Italy,Microsoft,Male,56,Streams really fast!!
Karen Figueroa,Indonesia,Sony,Male,52,Faststream
Celeste Oliver,Mexico,Dell,Male,53,Excellent Entertainment Source
Vanna Moore,Philippines,Amazon,Female,54,Super fast
Tanisha Harrison,Chile,LG,Male,59,Smart Tv in a box ! A smart upgrade!!
Abra Davenport,Turkey,LG,Female,55,No optical
Gretchen Albert,Brazil,HP,Male,52,Fire-TV
Geoffrey Shaw,Nigeria,Dell,Male,55,Great streaming box
Oren Wong,Canada,Microsoft,Female,57,Video source in Amazon isn't enough
Oleg Lloyd,New Zealand,Microsoft,Female,59,Awesome quality and control
James Lowery,Brazil,LG,Female,52,"""Best Investment I Ever Made"""
Lillith Talley,South Korea,Samsung,Male,51,"Works great, easy start up"
Travis Berry,Philippines,HP,Female,50,Perfect for me
Gabriel Hardy,France,Amazon,Female,55,ITS GREAT
Maris Love,Ukraine,Microsoft,Male,58,excellent product and service
Akeem Jefferson,China,HP,Female,60,good add thirt party app watch chinese tv
Sade Harper,United Kingdom,Microsoft,Male,60,Works Great!
Avram Dillard,Sweden,Microsoft,Female,57,Not sorry!
Porter Evans,Ukraine,Microsoft,Female,52,Best streaming device available!
Georgia Horne,Vietnam,LG,Female,60,A powerful media box
Thomas Beck,South Africa,Microsoft,Female,53,Great way to stream TV shows
Arden Wise,Colombia,Amazon,Female,52,"Great streaming, easy set up and use"
Geraldine Dominguez,Ireland,Amazon,Female,58,great product
Jared Alvarado,Mexico,Microsoft,Male,57,Love it
Rajah Avery,Spain,LG,Female,51,Great video option
Hope Fisher,France,Samsung,Female,57,Really fast device...
Haviva Mitchell,Ukraine,Sony,Female,51,Awesome tool for traveling and my over the air tv
Quemby Morrison,Turkey,Sony,Female,56,Better than expected
Gemma Tanner,China,HP,Female,55,Best Streaming device
Wayne Preston,Indonesia,Microsoft,Female,56,Great!!!
John Conley,Ukraine,Microsoft,Male,54,Great streaming device
David Hunt,Costa Rica,Microsoft,Male,51,Great streaming
